feature,vif
Historique_credit_A34,6.217660709543199
Historique_credit_A32,6.1306145128488625
Situation_familiale_A93,5.819025188934304
Situation_familiale_A92,5.26197873078775
Biens_A124,3.3046639782606197
Statut_domicile_A153,3.172121235897814
Historique_credit_A33,2.9661822513231617
Situation_familiale_A94,2.9161632822039074
Montant_credit,2.6235776310591996
Duree_credit,2.127832624025927
Type_emploi_A174,2.073304500097557
Historique_credit_Other,1.881962051325944
Statut_domicile_A152,1.7688362460695288
Biens_A123,1.7582164654760726
Type_emploi_A173,1.7546405970610013
Objet_credit_A43,1.7158819676153683
Nb_credits,1.694116785892803
Comptes_A14,1.6615201282146472
Comptes_A12,1.592194828275394
Objet_credit_A42,1.5758462521263656
Biens_A122,1.5245033121332328
Objet_credit_A41,1.476220943445005
Objet_credit_A49,1.47388731953538
Autres_credits_A143,1.4627456096526845
Age,1.3884490726585708
Taux_effort,1.365432030963354
Autres_credits_Other,1.3574703518087197
Anciennete_emploi,1.3369434316430782
Telephone_A192,1.3261876082937016
Anciennete_domicile,1.2970947632252192
Type_emploi_Other,1.2733328036227014
Comptes_A13,1.225266176313313
Objet_credit_A46,1.2009356223592138
Nb_pers_charge,1.192323093126099
Objet_credit_Other,1.1917160917608842
Etranger_Other,1.1160967661667973
Garanties_Other,1.1087681538523542
Epargne,1.0528935995834376
